tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userLocation,userTimezone
1501171724712390661,"دعاء الوالدين _ محمد العجمي
لعملاء شبكة stc أرسل الكود 1174329 إلى 1616
لعملاء شبكة zain أرسل الكود 210608 إلى 1718
لعملاء شبكة mobily ارسل الكود 1313453 إلى 1404
#صوت_البادية #stc #zain  #mobily  #نغمات_المتصل #المملكه_العربية_السعودية 

https://t.co/4IlUTYJqJN",0,0,Twitter Web App,2022-03-08 12:23:24+00:00,2909022304,sawtalbadeah0,مؤسسة صوت البادية,2014-12-07 09:20:58+00:00,"نختص بالانتاج الاعلامي وتصميم الشيلات وخدمات الجوال بالمملكة العربيه السعودية 
للتنسيق واتس اب 00201006762810
https://t.co/LeeKW5gqfs",المملكة العربية السعودية,
1501170693957947393,"اللهم اشفي أمي_ عبدالرحمن مهدي
لعملاء شبكة stc أرسل الكود 1173016 إلى 1616
لعملاء شبكة zain أرسل الكود 195236 إلى 1718
لعملاء شبكة mobily ارسل الكود 1216141 إلى 1404
#صوت_البادية #stc #zain  #mobily  #نغمات_المتصل #المملكه_العربية_السعودية  

https://t.co/GrHtCIj8Qx",0,0,Twitter Web App,2022-03-08 12:19:18+00:00,2909022304,sawtalbadeah0,مؤسسة صوت البادية,2014-12-07 09:20:58+00:00,"نختص بالانتاج الاعلامي وتصميم الشيلات وخدمات الجوال بالمملكة العربيه السعودية 
للتنسيق واتس اب 00201006762810
https://t.co/LeeKW5gqfs",المملكة العربية السعودية,
1500912818706685954,"RT @ArgaamPlus: #Mobily, Etisalat Group not to renew services, technical support agreement https://t.co/MdQRQ5kDz1",1,0,Hootsuite Inc.,2022-03-07 19:14:36+00:00,2872782998,ArgaamPlus,Argaam Plus,2014-10-23 06:41:25+00:00,"Market data, analysis, and commentary from Saudi Arabia's leading business news provider. AR: @Argaam",,
1500864137940897796,#Mobily: Tech deal with #Etisalat #UAE not signed https://t.co/wNfxEDV3ZK https://t.co/SE7eAPk4Kk,0,0,Buffer,2022-03-07 16:01:09+00:00,1418627572217360384,Maaal_Eng,Maaal Economy News,2021-07-23 17:43:03+00:00,Maaal financial and economic news  https://t.co/VzpAj61zvF,Kingdom of Saudi Arabia,
1500836220422795265,"#Mobily, Etisalat Group not to renew services, technical support agreement https://t.co/MdQRQ5kDz1",1,0,Hootsuite Inc.,2022-03-07 14:10:13+00:00,2872782998,ArgaamPlus,Argaam Plus,2014-10-23 06:41:25+00:00,"Market data, analysis, and commentary from Saudi Arabia's leading business news provider. AR: @Argaam",,
1500430525865021440,"اللهم اجعل أمى _حسان سالم
لعملاء شبكة stc أرسل الكود 1172338 إلى 1616
لعملاء شبكة zain أرسل الكود 100737 إلى 1718
لعملاء شبكة mobily ارسل الكود 1090078 إلى 1404
#صوت_البادية #stc #zain  #mobily  #نغمات_المتصل #المملكه_العربية_السعودية  
https://t.co/FOwvj7EKCc",0,0,Twitter Web App,2022-03-06 11:18:08+00:00,2909022304,sawtalbadeah0,مؤسسة صوت البادية,2014-12-07 09:20:58+00:00,"نختص بالانتاج الاعلامي وتصميم الشيلات وخدمات الجوال بالمملكة العربيه السعودية 
للتنسيق واتس اب 00201006762810
https://t.co/LeeKW5gqfs",المملكة العربية السعودية,
1500226329060466689,"RT @Techaholic2011: ستارلينك قادم لكسر هيمنة شركات الإتصالات 😎

#Starlink #STC #Mobily #Zain https://t.co/9uSJN7KUyW",1,0,Twitter for Android,2022-03-05 21:46:44+00:00,135915164,engawahab,Abdulwahab Suhaibani 🇸🇦,2010-04-22 14:48:41+00:00,"‏يقول الإمام الشافعي-رحمه الله
ليس إلى السلامة من الناس سبيل؛ فانظر الذي فيه صلاحك فالزمه",,
1500223246981021708,"ستارلينك قادم لكسر هيمنة شركات الإتصالات 😎

#Starlink #STC #Mobily #Zain https://t.co/9uSJN7KUyW",1,0,Twitter for iPhone,2022-03-05 21:34:29+00:00,284424942,Techaholic2011,Ayman Alamri ✈,2011-04-19 07:46:52+00:00,كلُ كسرٍ ألجأك إلى اللَّه هو جبرٌ .. وإن أوجعك؛,,
1499614375430086656,Batelco pushes regional Open RAN with 6 Middle East operators #Etisalat #Mobily #MiddleEast #Bahrain #Batelco #RadioAccessNetwork #ZainGroup #OpenRAN #SaudiTelecomCompany https://t.co/VH2kEzGMCT https://t.co/zO4TMD9oEY,0,1,Developing Telecoms Auto Tweet,2022-03-04 05:15:03+00:00,106384090,DevTelecoms,Developing Telecoms,2010-01-19 11:25:40+00:00,"Developing Telecoms is the international telecommunications news portal for emerging markets worldwide covering the latest tech including 5g, AI, IoT and more.",London,
1499571455897522195,"@Mobily1100 فقط تقفلو الشكوى بدون اي اجراء او اي حل للمره الثانيه!!! هل هذي هيه حلولكم وهل هذي هي طرق ارضاءالعميل لديكم !! 5G بالاسم فقط وسوء تعامل بالشكاوي وتقليل من شان عملائكم 
فعليا بديت افكر انتقل لمشغل اخر #mobily @Mobily @MobilyBusiness #5G",0,0,Twitter for Android,2022-03-04 02:24:30+00:00,955580810,ammmar453,ammar jammal,2012-11-18 14:23:34+00:00,سبحان الله وبحمده.. سبحان الله العظيم,مكه المكرمه,
1499352405120634880,"دعاء للام_مصعب عرفات
لعملاء شبكة stc أرسل الكود 1173199 إلى 1616
لعملاء شبكة zain أرسل الكود 207393 إلى 1718
لعملاء شبكة mobily ارسل الكود 1310469 إلى 1404
#صوت_البادية #stc #zain  #mobily  #نغمات_المتصل #المملكه_العربية_السعودية  

https://t.co/HKgCcEogRO",0,0,Twitter Web App,2022-03-03 11:54:04+00:00,2909022304,sawtalbadeah0,مؤسسة صوت البادية,2014-12-07 09:20:58+00:00,"نختص بالانتاج الاعلامي وتصميم الشيلات وخدمات الجوال بالمملكة العربيه السعودية 
للتنسيق واتس اب 00201006762810
https://t.co/LeeKW5gqfs",المملكة العربية السعودية,
1499308074288521219,"@Mobily1100 وصلتني رساله بانه تم التعامل مع شكواك !!
هل هذا هوه الحل ؟!!!
@Mobily @Mobily1100 @MobilyBusiness @CITC_SA @McitGovSa #mobily #5G https://t.co/vZAgYi4q4u",0,0,Twitter for Android,2022-03-03 08:57:55+00:00,955580810,ammmar453,ammar jammal,2012-11-18 14:23:34+00:00,سبحان الله وبحمده.. سبحان الله العظيم,مكه المكرمه,
1499219861381210113,"@olayan مثل القط و الفأر كلهم يطالبون بالسداد مع تقديم خدمات ردئية وتغطية سيئة
#mobily #stc
#stcpay_رجعي_فلوس_الناس
ويكفينا فواتيرهم قبل سنين ماضية عند تغييرهم وتحديث نظام الفاتورة .
أشك في مشروعية أرباح المساهمين من فواتير المستهلكين بغير وجه حق",0,0,Twitter for Android,2022-03-03 03:07:23+00:00,2199953489,Hasan_AlSalman,حسن ال سلمان,2013-11-29 01:24:06+00:00,"بالتأكيد نبحث دائما عن الجديد لننهل المفيد
اللهم علمنا ماينفعنا وأنفعنا بم علمتنا وزدنا علما وأجعله حجة لنا لا علينا أحب #النحل 🐝 وأتعلم منه الكثير",KSA,
1499162130511187969,"هل هذي تعتبر سرعة تحميل على شبكة ال 5G ؟!
@Mobily @Mobily1100 @MobilyBusiness #mobily https://t.co/2QLMWXzvgK",0,0,Twitter for Android,2022-03-02 23:17:59+00:00,955580810,ammmar453,ammar jammal,2012-11-18 14:23:34+00:00,سبحان الله وبحمده.. سبحان الله العظيم,مكه المكرمه,
1499061220241928192,"#Batelco #du #GCCBusinessNews #Mobily #Omantel #OpenRAN #Zain

https://t.co/AQUUG3Xur7 via @gccbusinessnews",0,0,Twitter Web App,2022-03-02 16:37:00+00:00,707469850273292292,GCCBusinessNews,GCC Business News,2016-03-09 07:35:31+00:00,"GBN is an exclusive business news portal for entrepreneurs, businessmen, and trade enthusiasts of the GCC region.",,
1498960139226910725,"@Mobily رقم ٢ 

#موبايلي 
#mobily",0,0,Twitter for iPhone,2022-03-02 09:55:21+00:00,994409202,3lii60,علي سعد,2012-12-07 05:31:07+00:00,instagram: 3li.6063 snap:ali.6063,,
1498819467475931138,"@Mobily القطعة رقن 2
اللهم صل وسلم وبارك على نبينا محمد وعلى آله وصحبه وسلم تسليما كثيرا يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك يااااااااااارب توفيقك 
@Mobily #mobily",0,0,Twitter for Android,2022-03-02 00:36:22+00:00,1485778665325711364,Ahsan_Bhatti_,Ahsan Bhatti,2022-01-25 00:57:15+00:00,🤫🤫🤫,,
1498772369334280199,"@Mobily رقم ٢ القطعة الصحيحة 
.
.
.
.
#mobily @Mobily @Mobily1100",0,0,Twitter for Android,2022-03-01 21:29:13+00:00,1042935972332232706,Alahmad88624819,Alahmadi,2018-09-21 00:38:07+00:00,Nothing to say,"مكة المكرمة, المملكة العربية ا",
1498741754169892868,@Mobily 2 #Mobily,0,0,Twitter for Android,2022-03-01 19:27:34+00:00,1482340936172638214,awadh22022,عوض عوض,2022-01-15 13:17:03+00:00,~,,
