tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userLocation,userTimezone
1501441962175516675,"@tooooof33 @mohaa_997 اللي اعرفه. عندنا بس 
الاتصالات  سوا
زين
مبايلي 
ذي شكلها جديده اول مره اسمع فيها",0,0,Twitter for iPhone,2022-03-09 06:17:13+00:00,1477307936229806081,BAljnwb2,وغداً أجمل بأذن الله,2022-01-01 15:57:38+00:00,من سار بين الناس جابراً للخواطر أدركة الله في المخاطر .,,
1501287340781748228,@KSA88JED مبايلي افكر فيه من اسبوع ومتردد,0,0,Twitter for iPhone,2022-03-08 20:02:49+00:00,930371218502569985,abdulla0955,ابو بندر,2017-11-14 09:45:58+00:00,,,
1501233770900467715,@i3zcom @stc_ksa الله يستر على @Mobily مجانية هذه الخدمة من يوم استخدمت شركة مبايلي من 8 سنوات🌷👌,0,0,Twitter for iPhone,2022-03-08 16:29:57+00:00,3609066492,u2rj_,#.شذى آلزهـرآني .Ⓜ️,2015-09-18 21:38:23+00:00,""" الله يرحم آمي و أبوي و يغفرلهم"" مرت سنة على موتك يا آمي جعل هذيك الملامح في الجنة 💔 _ هلالية💙 (حساب مشترك )🙋‍♀️",مراكش,
1501214066051895300,RT @AL_AJDL: مبايلي 7020 وفق الشارت https://t.co/QjO4f0DnaT,10,0,Twitter for iPhone,2022-03-08 15:11:39+00:00,1491453441792778241,BanderA64605213,Bander Alshehri,2022-02-09 16:46:45+00:00,,,
1501209859907375106,@ACjTooyQ07NYa2V @IraqiPMO اني هم طالب حاليا عفت الشغل بس تعليقك اثر  بيه والله الى تريد ابيعلك مبايلي  اني من حله قضاء القاسم  الى تريد صدك الله شاهد عليه ابيعلك المبايل,0,9,Twitter for Android,2022-03-08 14:54:56+00:00,1482053246147571719,yaser85738139,yaser,2022-01-14 18:14:01+00:00,,,
1501175393407193089,بعض الشركات مثل اس تي سي لك الحق ١٠٠٪ ولا يبون يخصمون لك الفاتوره رغم الخدمه متعطله بشكل تام وتم رفع اكثر من شكوى #stc #الاتصالات_السعودية #هيئة_الاتصالات مبايلي و زين افضل شركتين عند الحاجه لهم يتم رد على العميل في اسرع وقت بحسب تجربتي معهم,0,0,Twitter for iPhone,2022-03-08 12:37:58+00:00,1608367681,yzed20192,YZEEEED20000,2013-07-20 14:18:57+00:00,,,
1500928317049954308,"@kozume_kenma66 من از بچگیم تا حالا هیچ وقت هیچ بازی کامپیوتری یا مبایلی انجام ندادم 
واقعا وقتشه خجالت بکشم",0,0,Twitter for Android,2022-03-07 20:16:11+00:00,1281417634525913088,XZahragh,دوما ساما,2020-07-10 02:39:39+00:00,"l tried to be normal once
But it was boring",,
1500920508283510786,@TASI_KS3 ابو ناصر  افضل المنجم حاليا ولا مبايلي في نظرك دون ادنى مسؤليه,0,0,Twitter for iPhone,2022-03-07 19:45:09+00:00,1257439751872950279,eoetkk9Aiv4fxiy,مهتم بالاسهم,2020-05-04 22:40:01+00:00,,,
1500848810146377729,@MobilyBusiness شريحتي جوي وابحول مبايلي,0,0,Twitter for iPhone,2022-03-07 15:00:15+00:00,1102605528528756736,WUYGJSC13ZuOloO,يوسف,2019-03-04 16:23:38+00:00,,,
1500808084674985986,@travelers_gulf @ZainKuwait @OoredooKuwait @stc_kwt انصحك مبايلي السعوديه 👍🏽,0,1,Twitter for iPhone,2022-03-07 12:18:25+00:00,1169970889,FALE7MATRAFY,أبو نوت المطرفي,2013-02-11 20:32:59+00:00,FALE7  إداره مكتبيه,,
