"","Unnamed: 0","Unnamed: 0.1","tweetID","tweetText","tweetRetweetCt","tweetFavoriteCt","tweetSource","tweetCreated","userID","userScreen","userName","userCreateDt","clean text","text length","Sentiment Analysis","pos_count","neg_count"
"0","0","7","1500041333347659779","@DolezalekJosef @DrabovaDana Povodně v centru Prahy - centrum bez elektřiny, mobily jsme nabíjeli ve středisku v ZŠ na Uhelném trhu. Jistě, FVE je mnohem výhodnější - ale lidi si je musí pořídit za svý nebo na půjčku.","0.0","0.0","Twitter Web App","2022-03-05 09:31:37+00:00","4090104555.0","BathoryBetka","bětka.báthory","2015-11-01 13:32:01+00:00","Povodně     elektř    nabí   stř  ZŠ  Uhelné   Jistě    výhodnější     musí poří   svý   půjč","93","neutral","0","0"
"1","1","12","1500038278451544064","@calmounique مرحباً..أستاذي الكريم 

الآن جهاز Samsung S22 Ultra متاح للطلب المسبق عبر متجرنا الإلكتروني مع هدايا قيمة تصل قيمتها إلى 2,199 ريال.
  
للطلب المسبق يرجى الضغط على الرابط:
https://t.co/n6NgJ9xOB1

نسعد بخدمتك","0.0","0.0","Sprinklr Publishing","2022-03-05 09:19:29+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا استاذي الكريم جهاز  S22  متاح للطلب المسبق عبر متجرنا الالكتروني هدايا قيمه تصل قيمتها 199 للطلب المسبق يرجي الضغط الرابط نسعد بخدمتك","139","neutral","0","0"
"2","2","14","1500032695585456129","@PetrNov95968147 Přišlo mi taky a ještě chtějí donést mobily.","0.0","0.0","Twitter for Android","2022-03-05 08:57:18+00:00","1.3178289498677125e+18","HladkaIrena","Irena😜🐬🌸🍀","2020-10-18 14:06:19+00:00","Přiš    ještě chtějí doné","25","neutral","0","0"
"3","3","25","1500006943250857984","@madgirl629 اهلاً و سهلاً

للتغيير الموقع للفايبر مجاناً لاول مرة وبعدها يتم تحصيل 690 شامل الضريبة يرجى التحقق اولاً من وجود التغطية في الموقع الجديد بزيارة https://t.co/nzU30MT1Tu والتأكد من وجود البوكسية مركبة في حال وجود الشرطين يمكنك زيارة الفرع لطلب نقل الخدمة

نسعد بتواصلك","0.0","0.0","Sprinklr Publishing","2022-03-05 07:14:58+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","اهلا سهلا للتغيير الموقع للفايبر مجانا لاول مره وبعدها يتم تحصيل 690 شامل الضريبه يرجي التحقق اولا وجود التغطيه الموقع الجديد بزياره والتاكد وجود البوكسيه مركبه حال وجود الشرطين يمكنك الفرع لطلب نقل الخدمه نسعد بتواصلك","218","neutral","0","0"
"4","4","33","1499974365668069377","Na toto se čekalo. Rusko prý přijde o nové Samsung mobily a další zařízení - https://t.co/X4VrbtCSMF https://t.co/aFKvcpaq9T","0.0","5.0","Svět Androida autoposts","2022-03-05 05:05:31+00:00","18540811.0","SvetAndroida","Svět Androida cz","2009-01-02 00:52:05+00:00","č   prý př  nové   další zařízení","37","neutral","0","0"
"5","5","38","1499962439659626504","@esai123423 اختيار نوع الجهاز المستخدم (موبايل او راوتر)
شرح الشكوى بإختصار
تحديد المشكلة (خارج المبنى او داخله)
اختيار اسم المنطقة واسم المدينة
الضغط على العنوان لإظهار الخريطة وتحديد إحداثيات موقعك
ولتحميل تطبيق موبايلي زيارة https://t.co/SJdIwkF5m6 . نحن هنا لخدمتكم","0.0","0.0","Sprinklr Publishing","2022-03-05 04:18:08+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","اختيار نوع الجهاز المستخدم موبايل راوتر شرح الشكوي باختصار تحديد المشكله خارج المبني داخله اختيار اسم المنطقه واسم المدينه الضغط العنوان لاظهار الخريطه وتحديد احداثيات موقعك ولتحميل تطبيق لخدمتكم","195","neutral","0","1"
"6","6","41","1499952269864939522","@ohzm66 اهلا وسهلا للتحقق من المديونيات المستحقة على هويتك لدى موبايلي وذلك من خلال الرابط 
 https://t.co/lDhd0DminN . نحن هنا لخدمتكم","0.0","0.0","Sprinklr Publishing","2022-03-05 03:37:43+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","اهلا وسهلا للتحقق المديونيات المستحقه هويتك وذلك الرابط لخدمتكم","63","neutral","0","0"
"7","7","42","1499945192618663943","@zzaa854 اهلا وسهلا تصدر الفواتير في موبايلي شهريا يوم 1 من كل شهر ميلادي تفضل بإستعراض الفواتير الصادرة من خلال تطبيق موبايلي الخاص بك او من خلال موقع موبايلي https://t.co/r2nBQj4Ue2 . نحن هنا لخدمتكم","0.0","0.0","Sprinklr Publishing","2022-03-05 03:09:36+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","اهلا وسهلا تصدر الفواتير شهريا شهر ميلادي تفضل باستعراض الفواتير الصادره تطبيق الخاص موقع لخدمتكم","97","neutral","0","0"
"8","8","44","1499944855858200581","👉 #followme #sougofollow ✌️
#followback #相互フォロー 👍 https://t.co/TXnR9sRW2c","0.0","3.0","Twitter Web App","2022-03-05 03:08:15+00:00","1.0673793987209462e+18","Gemini_mobily","Gemini mobily #⃣相互フォロー","2018-11-27 11:27:34+00:00","相互フォロー","11","neutral","0","0"
"9","9","47","1499939280873193473","@Gemini_mobily フォローありがとうございます✨今後ともよろしくお願い致します(⁎ᴗ͈ˬᴗ͈⁎)","0.0","1.0","Twitter for iPhone","2022-03-05 02:46:06+00:00","1.4637470989695795e+18","MachikoKanagawa","かながわマチコちゃん🍓フォロバ100","2021-11-25 05:51:29+00:00","フォローありがとうございます 今後ともよろしくお願い致します ˬᴗ","33","neutral","0","0"
"10","10","48","1499939176850272256","@Gemini_mobily フォローありがとうございました(๑ ˊ͈ ᐞ ˋ͈ )☀️.°","0.0","1.0","Twitter for iPhone","2022-03-05 02:45:41+00:00","1.4637470989695795e+18","MachikoKanagawa","かながわマチコちゃん🍓フォロバ100","2021-11-25 05:51:29+00:00","フォローありがとうございました","15","neutral","0","0"
"11","11","50","1499938613844267008","@KETSUGEL 😄フォローしていただきありがとうございます _
🙇‍♀️どうもありがとうございました  🙇","0.0","0.0","Twitter Web App","2022-03-05 02:43:27+00:00","1.0673793987209462e+18","Gemini_mobily","Gemini mobily #⃣相互フォロー","2018-11-27 11:27:34+00:00","フォローしていただきありがとうございます どうもありがとうございました","35","neutral","0","0"
"12","12","51","1499938099232608257","@MachikoKanagawa 🙇‍♀️  フォローバックありがとう
🙏どうもありがとう🙇","0.0","1.0","Twitter Web App","2022-03-05 02:41:25+00:00","1.0673793987209462e+18","Gemini_mobily","Gemini mobily #⃣相互フォロー","2018-11-27 11:27:34+00:00","フォローバックありがとう どうもありがとう","21","neutral","0","0"
"13","13","55","1499932240909844482","@Mobily @nasim555555 القطعه رقم ٢","0.0","0.0","Twitter for Android","2022-03-05 02:18:08+00:00","1.4784880058285588e+18","slan_ahmd","العسل ياعسل","2022-01-04 22:06:37+00:00","القطعه رقم","10","neutral","0","0"
"14","14","59","1499927984702173186","@RN_2080 اهلا وسهلا

يمكنك التواصل معنا لتقديم اقتراحاتك او ملاحظاتك بالتفصيل من خلال زيارة https://t.co/OVFs5LeUiT 

دمتم بخير","0.0","0.0","Sprinklr Publishing","2022-03-05 02:01:13+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","اهلا وسهلا يمكنك التواصل معنا لتقديم اقتراحاتك ملاحظاتك بالتفصيل دمتم بخير","74","neutral","0","0"
"15","15","60","1499927009543217157","@al3taibi26 يشرفنا انتقالك لموبايلي
يمكنك طلب الانتقال عن طريق المتجر الالكتروني بزيارة الرابط
https://t.co/UpFiAZhL6I
او عن طريق تطبيق موبايلي بالدخول على خانة المتجر ثم انقل رقمك لموبايلي
رابط التطبيق
https://t.co/RXdQBPKApA

نحن هنا لخدمتك","0.0","0.0","Sprinklr Publishing","2022-03-05 01:57:21+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","يشرفنا انتقالك لموبايلي يمكنك طلب الانتقال طريق المتجر الالكتروني بزياره الرابط طريق تطبيق بالدخول خانه المتجر انقل رقمك لموبايلي رابط التطبيق لخدمتك","149","neutral","0","0"
"16","16","63","1499919580000571397","@al3taibi26 مرحبا مهند

يمكنك الحصول على احدى باقات موبايلي المفوترة الجديدة والاطلاع على مميزاتها والاسعار من خلال متجر موبايلي الالكتروني بزيارة 👈 https://t.co/mAjZmwvuzJ 

دمت بخير","0.0","0.0","Sprinklr Publishing","2022-03-05 01:27:49+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا مهند يمكنك الحصول احدي باقات المفوتره الجديده والاطلاع مميزاتها والاسعار متجر الالكتروني بزياره دمت بخير","110","neutral","0","0"
"17","17","64","1499919101518663685","@maaly222 مرحبا استاذ. يمكنك معرفة تسعيرة المكالمات الدولية لاي دولة بحسب باقتك بزيارة  https://t.co/Iswc8dh1NU دمت بخير","0.0","0.0","Sprinklr Publishing","2022-03-05 01:25:55+00:00","116666827.0","Mobily1100","رعاية العملاء","2010-02-23 06:49:32+00:00","مرحبا استاذ يمكنك معرفه تسعيره المكالمات الدوليه لاي دوله بحسب باقتك بزياره دمت بخير","84","neutral","0","0"
"18","18","75","1499903475769122816","@Mobily أرغب في تفعيل خدمة تجوال تلقي المكالمات والرسائل ، أنا الآن في دبي ولا استطيع تلقي الرسائل النصية ورسائل  رمز التحقق .. آمل حل المشكلة بشكل عاجل","0.0","0.0","Twitter for iPhone","2022-03-05 00:23:50+00:00","1.3917960700999557e+18","sultan12_6","ss","2021-05-10 16:43:45+00:00","ارغب تفعيل خدمه تجوال تلقي المكالمات والرسائل دبي استطيع تلقي الرسائل النصيه ورسائل رمز التحقق امل حل المشكله عاجل","114","neutral","0","1"
